Taxa	Avg_Protein_Length	Proportion_Helix	Proportion_Beta.sheet	Proportion_Secondary_Structure	Mean_BS_AA	Mean_BS_3di	Mean_BS_Part	IC_AA	TCA_AA	IC_3di	TCA_3di	IC_Part	TCA_Part	Mean_sCF_AA	Mean_sCF_3di	Mean_sCF_Part	OlderNode_BS_AA	YoungerNode_BS_AA	OlderNode_BS_3di	YoungerNode_BS_3di	OlderNode_BS_Part	YoungerNode_BS_Part	Alphabet_AA	Alphabet_3di
Taxa	0	0.924239777884645	0.023828190898935	0.0068558971299851	0.385943819650849	1.52748615654946e-07	0.000340115379949791	9.84139382771548e-05	0.00107837320338055	0.00196491658278026	4.18910045918599e-05	2.67270489443554e-05	0.00012106861595317	6.24593939899221e-05	0.173897923314028	0.00258577922789091	0.278957739009577	9.68865187787596e-05	4.91028797289379e-09	0.00388883495712156	0.000270980012210129	0.000134558692452876	0.000134763738210946	0.948194388425242	0.521194190540339
Avg_Protein_Length	0.924239777884645	0	0.00244316310217043	0.00316676718676698	0.00645975699536044	0.0317934609710235	0.000220831025203649	0.000644494812505626	7.97783357285961e-05	4.94303765615125e-05	0.00440390357011199	0.00474749459823043	0.000384228915557278	0.00050172252210756	0.0395341578287898	0.227287836477956	0.0414352927022593	0.00221396122591859	0.18655909261043	1.15297648856757e-05	0.00177383738468323	0.000784807194551165	0.0013536565835324	0.00105458666747925	6.17083167191334e-06
Proportion_Helix	0.023828190898935	0.00244316310217043	0	2.06106485824193e-19	1.59632788799783e-09	5.01441499325042e-07	0.000692409835522586	2.69491806203763e-08	0.000304446687672683	0.000227388616381085	7.59784917696083e-10	1.14435241389342e-09	1.97431758884947e-07	4.83387604361968e-07	2.07486864428968e-08	0.00271575659664596	2.68867765335556e-06	4.29766015334702e-09	7.3827837367011e-06	0.00612996008225811	0.000552917914278966	4.78158631814901e-09	1.55510338090641e-05	3.76675841221699e-05	1.26483910382451e-10
Proportion_Beta.sheet	0.0068558971299851	0.00316676718676698	2.06106485824193e-19	0	1.03439843310752e-06	3.27643122276622e-08	0.000106488021890983	7.54871676202329e-09	5.08798748148967e-05	3.96821381163212e-05	8.61957366400208e-12	1.14039626541359e-11	6.62046707137037e-08	1.34599336651528e-07	3.78444386520723e-06	0.00011273755016019	3.11906558333994e-07	1.38684528619289e-10	1.50684332328754e-06	0.0021184220095672	5.74117019615553e-05	3.13911180477577e-09	1.98214602607296e-06	0.000874982487303933	3.75627926811872e-09
Proportion_Secondary_Structure	0.385943819650849	0.00645975699536044	1.59632788799783e-09	1.03439843310752e-06	0	0.00171766410792774	0.0707324423201305	0.000100205745025785	0.0381351386042288	0.0301772347180859	0.000157861807466672	0.000205947695957769	0.000225999029408959	0.000445655472535309	1.59676371555851e-15	0.431593356767856	0.00276630901661687	0.000210005164516007	0.00300678132387527	0.124898177721591	0.0874385037577031	1.91463039859676e-05	0.00752795042977391	6.02473121279384e-10	2.01941549399274e-08
Mean_BS_AA	1.52748615654946e-07	0.0317934609710235	5.01441499325042e-07	3.27643122276622e-08	0.00171766410792774	0	9.27062912403609e-06	2.68787732877053e-10	1.63750456069702e-05	2.54584704405588e-05	2.50690653265618e-17	5.34983235553062e-18	2.07496166841946e-09	1.2279135640486e-09	0.000415306714807496	0.000374760579873896	0.00361866559502849	9.90995355286817e-16	1.71650281353526e-16	0.000318369399441529	1.15594469924418e-05	2.69751012082803e-11	7.63057720792238e-07	0.0384277614997219	0.00120077037262459
Mean_BS_3di	0.000340115379949791	0.000220831025203649	0.000692409835522586	0.000106488021890983	0.0707324423201305	9.27062912403609e-06	0	1.33118317985365e-09	1.39761977598238e-26	1.02223989171986e-22	3.68632751780775e-06	2.55087561008997e-06	1.33155476271938e-10	4.29998488549806e-11	0.139288327106478	0.000326171032436173	0.0121058812439233	1.51672297941312e-05	8.93317470158502e-05	3.21160766830759e-15	1.16922186579865e-18	1.06751973397736e-07	1.8084058662153e-15	0.128776015595625	0.00294057807024835
Mean_BS_Part	9.84139382771548e-05	0.000644494812505626	2.69491806203763e-08	7.54871676202329e-09	0.000100205745025785	2.68787732877053e-10	1.33118317985365e-09	0	4.44174497041968e-10	4.77927698363256e-10	8.2473995986657e-12	6.65752065865994e-12	1.50856911920491e-28	1.53594560281568e-25	0.000170910103321536	0.00234100547880145	0.00182363655867836	5.28954323888116e-10	7.45297972033456e-09	3.11529643907089e-07	5.99702066583256e-09	1.80628692514927e-22	4.71814452375326e-13	0.00148608122569208	1.94550674246151e-05
IC_AA	0.00107837320338055	7.97783357285961e-05	0.000304446687672683	5.08798748148967e-05	0.0381351386042288	1.63750456069702e-05	1.39761977598238e-26	4.44174497041968e-10	0	1.1277759600316e-33	3.63495597608839e-06	2.73229159712982e-06	3.71307018896877e-11	1.66962691294078e-11	0.0922962004007655	0.000451833939423364	0.00661850278333647	1.69067473238442e-05	0.000145624173552139	8.76861317505117e-15	4.55381835474898e-18	4.93382593517189e-08	2.54865278979207e-16	0.0662571732363426	0.000962863638386059
TCA_AA	0.00196491658278026	4.94303765615125e-05	0.000227388616381085	3.96821381163212e-05	0.0301772347180859	2.54584704405588e-05	1.02223989171986e-22	4.77927698363256e-10	1.1277759600316e-33	0	4.32561396024505e-06	3.40568746789527e-06	4.25500562688538e-11	2.37728338925157e-11	0.0812316199770456	0.00048382885112187	0.00465098317718876	2.12104992520826e-05	0.000210547839797154	3.58495557847753e-14	1.41077596998036e-17	5.2256610976761e-08	3.93918849558445e-16	0.0500620325509317	0.000575032122908767
