Taxa	Avg_Protein_Length	Proportion_Helix	Proportion_Beta.sheet	Proportion_Secondary_Structure	Mean_BS_AA	Mean_BS_3di	Mean_BS_Part	IC_AA	TCA_AA	IC_3di	TCA_3di	IC_Part	TCA_Part	Mean_sCF_AA	Mean_sCF_3di	Mean_sCF_Part	OlderNode_BS_AA	YoungerNode_BS_AA	OlderNode_BS_3di	YoungerNode_BS_3di	OlderNode_BS_Part	YoungerNode_BS_Part	Alphabet_AA	Alphabet_3di
Taxa	1	0.31827668409784	0.166028867254902	-0.250348923385581	-0.0883622761022404	-0.674541552566306	-0.365565997726428	-0.473565042817873	-0.302017759215697	-0.258779835668525	-0.441635544221559	-0.466400153222802	-0.454727379422677	-0.480387836124004	-0.115803877444946	-0.32046614058622	0.0807895856825112	-0.438549041855385	-0.715617073818632	-0.297299842419229	-0.316005046370031	-0.463053791382519	-0.427931751092738	0.206204471958497	0.187897600595862
Avg_Protein_Length	0.31827668409784	1	-0.312887146532059	0.315036119214359	-0.219526857878366	0.311601389112428	0.599492159020328	0.475419769185427	0.619094172163779	0.630145536257285	0.494471002857508	0.477914594364034	0.509285309908182	0.502293406057783	0.125224629707341	0.124913873798752	0.243583653765168	0.551576879323866	0.0316688335185975	0.697663828783086	0.453759353796986	0.488911267683494	0.347557064096745	0.467073575216878	0.682545174899079
Proportion_Helix	0.166028867254902	-0.312887146532059	1	-0.968962576044041	0.794974135677352	-0.588496435211035	-0.410879495916581	-0.679428427542547	-0.442109191033329	-0.451509567306811	-0.700796266516925	-0.725088853350304	-0.634017463962166	-0.619808494857473	-0.716562197865057	-0.40267119551502	-0.560846257805572	-0.656628165100617	-0.472368894423927	-0.284245492512725	-0.416129476268107	-0.66314634838004	-0.581603763516874	-0.400072802405253	-0.783278118712948
Proportion_Beta.sheet	-0.250348923385581	0.315036119214359	-0.968962576044041	1	-0.62034288893405	0.648288684611989	0.500664591825928	0.683319363661182	0.517020557441907	0.520566062499231	0.756132462204677	0.781980445131619	0.631220729026542	0.621959291926673	0.570731339882127	0.579077263525138	0.637814672889989	0.724133089102352	0.491363217252366	0.348257544230749	0.5166382895554	0.661489342431008	0.607422772403526	0.275255089481296	0.76306045095332
Proportion_Secondary_Structure	-0.0883622761022404	-0.219526857878366	0.794974135677352	-0.62034288893405	1	-0.274091867909724	-0.0733949235052531	-0.477049500374954	-0.132414971649046	-0.153445594276696	-0.365523660104498	-0.379222780648217	-0.460676553271814	-0.438163304539831	-0.873709156308083	0.144423111767973	-0.212882385077574	-0.305792394701657	-0.289043024919953	-0.0476313669940412	-0.0495252018268542	-0.479345925333083	-0.352467064809757	-0.59423278030199	-0.614182487412468
Mean_BS_AA	-0.674541552566306	0.311601389112428	-0.588496435211035	0.648288684611989	-0.274091867909724	1	0.590872616669504	0.777566420138486	0.552571758183494	0.530267990673394	0.949134933446978	0.954661562477723	0.747149440062484	0.760606921985228	0.431462509086993	0.472956878313473	0.319872027371719	0.922779383593498	0.900374841282108	0.47150814470633	0.54293529749995	0.816295670754173	0.548117621718286	0.213519508595023	0.382537031457981
Mean_BS_3di	-0.365565997726428	0.599492159020328	-0.410879495916581	0.500664591825928	-0.0733949235052531	0.590872616669504	1	0.84869442265175	0.994227222702321	0.987018111779454	0.653912780524155	0.657846309318201	0.873315806952212	0.881304777192512	0.0200343173469317	0.503556047734517	0.368033551589275	0.585583007887111	0.465228540105743	0.906941159112768	0.941520332456783	0.76738535469659	0.880508270247141	0.230057935561782	0.468333875235002
Mean_BS_Part	-0.473565042817873	0.475419769185427	-0.679428427542547	0.683319363661182	-0.477049500374954	0.777566420138486	0.84869442265175	1	0.858898766613566	0.855341602454041	0.815326905692476	0.813775698846842	0.993211271019862	0.988125300334785	0.5172540862533	0.362167122734423	0.398048793018278	0.720211314480588	0.729978697729626	0.715567340022171	0.808507797856796	0.975843104047917	0.855980058159448	0.518366064124078	0.582888412349687
IC_AA	-0.302017759215697	0.619094172163779	-0.442109191033329	0.517020557441907	-0.132414971649046	0.552571758183494	0.994227222702321	0.858898766613566	1	0.998297542566787	0.639379888493366	0.637874202823938	0.883464291063371	0.885782492935969	0.065959372825404	0.497383353430627	0.41694822765944	0.557213585818932	0.438894902979999	0.896554061055906	0.944806670235831	0.775213201369634	0.890834044055062	0.305982364505623	0.525663166063752
TCA_AA	-0.258779835668525	0.630145536257285	-0.451509567306811	0.520566062499231	-0.153445594276696	0.530267990673394	0.987018111779454	0.855341602454041	0.998297542566787	1	0.632621628742778	0.628130947394434	0.879864060984502	0.879805281891392	0.0767362499389471	0.498380110839411	0.448377271928605	0.539132226679442	0.425306268833494	0.880618746292796	0.948336837562848	0.770055610205992	0.889855954003721	0.335611452244217	0.547547306013988
