d_120_1_0+1x3x_A	d_120_1_0+2keo_A	d_120_1_0+3ks0_A	d_120_1_0+3lf5_A	d_120_1_0+4b8n_A	d_120_1_1+1awp_A	d_120_1_1+1cxy_A	d_120_1_1+1do9_A	d_120_1_1+1hko_A	d_120_1_1+1i87_A	d_120_1_1+1mj4_A	d_120_1_1+2i89_A	d_120_1_1+2ibj_A	d_120_1_1+3ner_A	d_120_1_1+3ozz_B
d_120_1_0+1x3x_A	0	0.816	0.527	0.433	0.448	0.344	0.294	0.409	0.522	0.72	0.372	0.353	0.361	0.39	0.286
d_120_1_0+2keo_A	0.815	0	0.764	0.752	0.752	0.755	0.755	0.74	0.803	0.774	0.726	0.756	0.708	0.749	0.723
d_120_1_0+3ks0_A	0.527	0.775	0	0.431	0.278	0.411	0.453	0.51	0.616	0.74	0.502	0.451	0.405	0.463	0.384
d_120_1_0+3lf5_A	0.433	0.752	0.431	0	0.324	0.447	0.394	0.472	0.487	0.732	0.408	0.389	0.36	0.409	0.327
d_120_1_0+4b8n_A	0.448	0.752	0.278	0.324	0	0.334	0.398	0.445	0.542	0.769	0.421	0.367	0.348	0.394	0.309
d_120_1_1+1awp_A	0.344	0.755	0.411	0.434	0.334	0	0.248	0.289	0.411	0.675	0.292	0.086	0.114	0.163	0.078
d_120_1_1+1cxy_A	0.294	0.755	0.453	0.394	0.398	0.248	0	0.382	0.474	0.723	0.303	0.286	0.253	0.328	0.2
d_120_1_1+1do9_A	0.409	0.74	0.51	0.472	0.445	0.289	0.382	0	0.453	0.701	0.409	0.292	0.276	0.299	0.236
d_120_1_1+1hko_A	0.522	0.803	0.626	0.487	0.542	0.411	0.474	0.453	0	0.749	0.491	0.416	0.406	0.432	0.381
d_120_1_1+1i87_A	0.72	0.774	0.74	0.732	0.769	0.675	0.723	0.701	0.749	0	0.69	0.677	0.656	0.676	0.66
d_120_1_1+1mj4_A	0.357	0.726	0.502	0.392	0.421	0.292	0.303	0.409	0.491	0.69	0	0.327	0.331	0.361	0.27
d_120_1_1+2i89_A	0.353	0.756	0.451	0.389	0.367	0.086	0.286	0.292	0.416	0.677	0.327	0	0.198	0.158	0.106
d_120_1_1+2ibj_A	0.361	0.708	0.405	0.36	0.348	0.114	0.253	0.276	0.406	0.656	0.331	0.198	0	0.241	0.125
d_120_1_1+3ner_A	0.39	0.749	0.463	0.409	0.394	0.163	0.328	0.299	0.432	0.676	0.361	0.158	0.241	0	0.134
d_120_1_1+3ozz_B	0.286	0.723	0.384	0.327	0.309	0.078	0.2	0.236	0.381	0.66	0.27	0.106	0.125	0.134	0
