c_124_1_0+3cdk_A	c_124_1_0+3kv1_A	c_124_1_0+3rrl_A	c_124_1_0+4l4y_A	c_124_1_0+4oqp_A	c_124_1_0+5dbn_A	c_124_1_0+5n01_D	c_124_1_1+1jt9_A	c_124_1_1+1ne7_A	c_124_1_1+1pbt_A	c_124_1_1+4r7t_A	c_124_1_2+1poi_A	c_124_1_3+1poi_B	c_124_1_5+1t9k_A	c_124_1_5+1vb5_A	c_124_1_5+1w2w_A	c_124_1_6+1sbq_A	c_124_1_6+1wkc_A	c_124_1_7+2g40_A	c_124_1_8+2gnp_A	c_124_1_8+2o0m_A	c_124_1_8+2r5f_A	c_124_1_8+3efb_A
c_124_1_0+3cdk_A	0	0.894	0.12	0.889	0.906	0.173	0.849	0.933	0.893	0.877	0.882	0.547	0.855	0.901	0.873	0.986	0.893	0.884	0.863	0.905	0.911	0.91	0.902
c_124_1_0+3kv1_A	0.894	0	0.911	0.362	0.362	0.889	0.898	0.777	0.805	0.782	0.798	0.924	0.91	0.925	0.886	0.98	0.932	0.907	0.902	0.417	0.484	0.504	0.317
c_124_1_0+3rrl_A	0.12	0.911	0	0.897	0.92	0.185	0.86	0.951	0.904	0.887	0.896	0.567	0.867	0.912	0.896	0.987	0.884	0.886	0.877	0.923	0.925	0.91	0.916
c_124_1_0+4l4y_A	0.891	0.362	0.897	0	0.415	0.892	0.897	0.764	0.785	0.751	0.79	0.928	0.905	0.928	0.953	0.98	0.881	0.887	0.883	0.476	0.57	0.518	0.376
c_124_1_0+4oqp_A	0.904	0.362	0.92	0.415	0	0.905	0.921	0.782	0.804	0.779	0.795	0.933	0.914	0.94	0.908	0.978	0.9	0.901	0.889	0.337	0.537	0.428	0.362
c_124_1_0+5dbn_A	0.173	0.893	0.185	0.892	0.905	0	0.833	0.862	0.892	0.87	0.883	0.554	0.852	0.891	0.867	0.985	0.881	0.879	0.864	0.907	0.917	0.889	0.892
c_124_1_0+5n01_D	0.849	0.898	0.86	0.897	0.921	0.833	0	0.867	0.893	0.897	0.868	0.882	0.46	0.886	0.867	0.985	0.845	0.852	0.868	0.918	0.911	0.904	0.902
c_124_1_1+1jt9_A	0.933	0.778	0.951	0.764	0.782	0.862	0.868	0	0.268	0.531	0.094	0.894	0.888	0.917	0.895	0.983	0.887	0.901	0.88	0.785	0.777	0.75	0.769
c_124_1_1+1ne7_A	0.892	0.805	0.904	0.785	0.806	0.892	0.893	0.268	0	0.545	0.256	0.916	0.896	0.926	0.898	0.976	0.902	0.915	0.913	0.809	0.806	0.781	0.803
c_124_1_1+1pbt_A	0.88	0.782	0.887	0.751	0.779	0.87	0.896	0.526	0.545	0	0.537	0.901	0.913	0.93	0.894	0.965	0.882	0.886	0.861	0.781	0.769	0.75	0.781
c_124_1_1+4r7t_A	0.882	0.801	0.896	0.786	0.795	0.883	0.868	0.094	0.256	0.542	0	0.907	0.9	0.913	0.886	0.983	0.889	0.911	0.896	0.802	0.801	0.766	0.797
c_124_1_2+1poi_A	0.547	0.923	0.567	0.926	0.931	0.55	0.882	0.894	0.916	0.901	0.908	0	0.902	0.933	0.91	0.988	0.911	0.912	0.908	0.933	0.933	0.919	0.922
c_124_1_3+1poi_B	0.855	0.91	0.867	0.905	0.914	0.852	0.454	0.888	0.896	0.913	0.9	0.902	0	0.89	0.876	0.985	0.844	0.857	0.879	0.924	0.924	0.922	0.9
c_124_1_5+1t9k_A	0.901	0.925	0.912	0.928	0.94	0.891	0.886	0.917	0.926	0.93	0.913	0.932	0.89	0	0.462	0.7	0.865	0.895	0.904	0.938	0.929	0.916	0.92
c_124_1_5+1vb5_A	0.873	0.886	0.896	0.953	0.907	0.867	0.864	0.893	0.897	0.901	0.886	0.91	0.875	0.462	0	0.829	0.854	0.863	0.867	0.909	0.907	0.901	0.887
c_124_1_5+1w2w_A	0.986	0.98	0.985	0.98	0.978	0.985	0.985	0.983	0.976	0.965	0.982	0.988	0.985	0.7	0.829	0	0.983	0.986	0.975	0.98	0.98	0.977	0.978
c_124_1_6+1sbq_A	0.891	0.931	0.881	0.881	0.899	0.881	0.845	0.887	0.9	0.882	0.888	0.911	0.844	0.867	0.851	0.983	0	0.409	0.866	0.925	0.888	0.885	0.921
c_124_1_6+1wkc_A	0.884	0.907	0.886	0.887	0.901	0.879	0.852	0.9	0.916	0.886	0.913	0.912	0.857	0.895	0.863	0.986	0.409	0	0.826	0.919	0.874	0.863	0.887
c_124_1_7+2g40_A	0.863	0.899	0.877	0.883	0.89	0.864	0.868	0.88	0.913	0.861	0.896	0.908	0.879	0.904	0.867	0.982	0.866	0.826	0	0.902	0.87	0.883	0.886
c_124_1_8+2gnp_A	0.905	0.417	0.923	0.476	0.337	0.907	0.92	0.788	0.809	0.781	0.802	0.932	0.924	0.938	0.909	0.98	0.925	0.919	0.902	0	0.529	0.521	0.357
c_124_1_8+2o0m_A	0.911	0.484	0.927	0.57	0.537	0.915	0.911	0.774	0.806	0.769	0.798	0.935	0.924	0.929	0.907	0.98	0.892	0.878	0.87	0.529	0	0.546	0.467
c_124_1_8+2r5f_A	0.91	0.499	0.91	0.518	0.428	0.889	0.902	0.75	0.781	0.747	0.766	0.916	0.922	0.917	0.907	0.977	0.885	0.863	0.886	0.521	0.551	0	0.418
c_124_1_8+3efb_A	0.902	0.317	0.916	0.376	0.362	0.892	0.902	0.769	0.803	0.781	0.798	0.922	0.9	0.922	0.901	0.978	0.921	0.887	0.891	0.357	0.467	0.418	0
